,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,watchDate,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,\N
13,tt0266697,movie,Kill Bill: Vol. 1,Kill Bill: Vol. 1,0,2003,\N,111,Action,8.1,928628.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,tt1049413,movie,Up,Up,0,2009,\N,96,Adventure,8.2,865974.0,24/03/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,tt0120382,movie,The Truman Show,The Truman Show,0,1998,\N,103,Comedy,8.1,857656.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,tt0119217,movie,Good Will Hunting,Good Will Hunting,0,1997,\N,126,Drama,8.3,786253.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,tt0477348,movie,No Country for Old Men,No Country for Old Men,0,2007,\N,122,Crime,8.1,783264.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,Adventure,8.0,757029.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,tt0208092,movie,Snatch,Snatch,0,2000,\N,104,Comedy,8.3,732110.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,tt1454468,movie,Gravity,Gravity,0,2013,\N,91,Drama,7.7,723439.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,tt0435761,movie,Toy Story 3,Toy Story 3,0,2010,\N,103,Adventure,8.3,704196.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,tt0416449,movie,300,300,0,2006,\N,117,Action,7.7,701052.0,29/02/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,2014,\N,136,Action,7.7,684629.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,tt1119646,movie,The Hangover,The Hangover,0,2009,\N,100,Comedy,7.7,680459.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,tt0253474,movie,The Pianist,The Pianist,0,2002,\N,150,Biography,8.5,661656.0,\N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,tt0075314,movie,Taxi Driver,Taxi Driver,0,1976,\N,114,Crime,8.3,656973.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,Action,8.0,639504.0,23/11/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,\N,137,Action,8.0,633265.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,\N,114,Biography,8.0,632588.0,\N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,0,2012,\N,122,Comedy,7.7,628593.0,09/09/2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,\N,98,Action,8.1,623218.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,\N,132,Drama,8.1,595865.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,tt0440963,movie,The Bourne Ultimatum,The Bourne Ultimatum,0,2007,\N,115,Action,8.0,584227.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,tt0126029,movie,Shrek,Shrek,0,2001,\N,90,Adventure,7.8,574121.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,tt0116282,movie,Fargo,Fargo,0,1996,\N,98,Crime,8.1,572291.0,02/11/2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,tt0816711,movie,World War Z,World War Z,0,2013,\N,116,Action,7.0,563355.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,tt0796366,movie,Star Trek,Star Trek,0,2009,\N,127,Action,7.9,560731.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,2014,\N,113,Action,7.9,557587.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,tt1981115,movie,Thor: The Dark World,Thor: The Dark World,0,2013,\N,112,Action,6.9,555226.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,2014,\N,129,Action,7.7,555059.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,0,2008,\N,166,Drama,7.8,549059.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,tt0780504,movie,Drive,Drive,0,2011,\N,100,Crime,7.8,531101.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,tt0332280,movie,The Notebook,The Notebook,0,2004,\N,123,Drama,7.8,484498.0,24/02/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,tt1798709,movie,Her,Her,0,2013,\N,126,Drama,8.0,483750.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,tt0162222,movie,Cast Away,Cast Away,0,2000,\N,143,Adventure,7.8,482206.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,tt0240772,movie,Ocean's Eleven,Ocean's Eleven,0,2001,\N,116,Crime,7.8,481806.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,tt0258463,movie,The Bourne Identity,The Bourne Identity,0,2002,\N,119,Action,7.9,481298.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,Comedy,7.9,478968.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,tt0181689,movie,Minority Report,Minority Report,0,2002,\N,145,Action,7.6,477289.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,Animation,7.6,472627.0,\N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,tt0343818,movie,"I, Robot","I, Robot",0,2004,\N,115,Action,7.1,472087.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,Adventure,8.2,470566.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,tt0409459,movie,Watchmen,Watchmen,0,2009,\N,162,Action,7.6,462460.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,tt1408101,movie,Star Trek Into Darkness,Star Trek Into Darkness,0,2013,\N,132,Action,7.7,449200.0,20/10/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,tt0096874,movie,Back to the Future Part II,Back to the Future Part II,0,1989,\N,108,Adventure,7.8,438086.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,tt0206634,movie,Children of Men,Children of Men,0,2006,\N,109,Drama,7.9,435754.0,06/11/2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,tt0425112,movie,Hot Fuzz,Hot Fuzz,0,2007,\N,121,Action,7.8,433858.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,tt0448157,movie,Hancock,Hancock,0,2008,\N,92,Action,6.4,419616.0,10/01/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,2006,\N,117,Biography,8.0,413448.0,12/05/2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,2004,\N,108,Action,7.7,412454.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,tt2179136,movie,American Sniper,American Sniper,0,2014,\N,133,Action,7.3,409076.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,tt0443706,movie,Zodiac,Zodiac,0,2007,\N,157,Crime,7.7,404754.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,tt1099212,movie,Twilight,Twilight,0,2008,\N,122,Drama,5.2,400195.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64,tt1515091,movie,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,0,2011,\N,129,Action,7.5,399554.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,Adventure,6.6,396708.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,tt0319061,movie,Big Fish,Big Fish,0,2003,\N,125,Adventure,8.0,394587.0,16/04/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,tt1535109,movie,Captain Phillips,Captain Phillips,0,2013,\N,134,Biography,7.8,393765.0,\N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,tt0314331,movie,Love Actually,Love Actually,0,2003,\N,135,Comedy,7.6,390732.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,tt0441773,movie,Kung Fu Panda,Kung Fu Panda,0,2008,\N,92,Action,7.5,389803.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,tt1723121,movie,We're the Millers,We're the Millers,0,2013,\N,110,Comedy,7.0,378094.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,tt0362227,movie,The Terminal,The Terminal,0,2004,\N,128,Comedy,7.3,373041.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,tt0120616,movie,The Mummy,The Mummy,0,1999,\N,124,Action,7.0,371624.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,tt1055369,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,0,2009,\N,150,Action,6.0,369145.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,tt2980516,movie,The Theory of Everything,The Theory of Everything,0,2014,\N,123,Biography,7.7,368868.0,19/07/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,2010,\N,108,Adventure,6.4,363924.0,17/05/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,tt0139654,movie,Training Day,Training Day,0,2001,\N,122,Crime,7.7,362777.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,tt0831387,movie,Godzilla,Godzilla,0,2014,\N,123,Action,6.4,359047.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,tt0163651,movie,American Pie,American Pie,0,1999,\N,95,Comedy,7.0,357360.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,tt0942385,movie,Tropic Thunder,Tropic Thunder,0,2008,\N,107,Action,7.0,357156.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,tt1060277,movie,Cloverfield,Cloverfield,0,2008,\N,85,Horror,7.0,356013.0,\N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,tt0265086,movie,Black Hawk Down,Black Hawk Down,0,2001,\N,144,Drama,7.7,344878.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,tt0369339,movie,Collateral,Collateral,0,2004,\N,120,Crime,7.5,339683.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,tt0349903,movie,Ocean's Twelve,Ocean's Twelve,0,2004,\N,125,Crime,6.5,336766.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,tt1282140,movie,Easy A,Easy A,0,2010,\N,92,Comedy,7.1,336156.0,05/06/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,tt1596343,movie,Fast Five,Fast Five,0,2011,\N,130,Action,7.3,335202.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,tt1371111,movie,Cloud Atlas,Cloud Atlas,0,2012,\N,172,Action,7.4,330299.0,29/10/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,tt0840361,movie,The Town,The Town,0,2010,\N,125,Crime,7.5,327698.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,tt0232500,movie,The Fast and the Furious,The Fast and the Furious,0,2001,\N,106,Action,6.8,326699.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,tt0317740,movie,The Italian Job,The Italian Job,0,2003,\N,111,Action,7.0,326423.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,tt0438488,movie,Terminator Salvation,Terminator Salvation,0,2009,\N,115,Action,6.5,325522.0,23/03/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,tt1596363,movie,The Big Short,The Big Short,0,2015,\N,130,Biography,7.8,319596.0,17/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,tt0454848,movie,Inside Man,Inside Man,0,2006,\N,129,Crime,7.6,317948.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,tt1409024,movie,Men in Black 3,Men in Black 3,0,2012,\N,106,Action,6.8,317365.0,09/03/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,tt0317919,movie,Mission: Impossible III,Mission: Impossible III,0,2006,\N,126,Action,6.9,311605.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,tt0162661,movie,Sleepy Hollow,Sleepy Hollow,0,1999,\N,105,Fantasy,7.3,310726.0,07/09/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,tt0455944,movie,The Equalizer,The Equalizer,0,2014,\N,132,Action,7.2,309056.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,tt1490017,movie,The Lego Movie,The Lego Movie,0,2014,\N,100,Action,7.8,308992.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,tt0343660,movie,50 First Dates,50 First Dates,0,2004,\N,99,Comedy,6.8,308655.0,12/10/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,tt0377092,movie,Mean Girls,Mean Girls,0,2004,\N,97,Comedy,7.0,308202.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,tt1907668,movie,Flight,Flight,0,2012,\N,138,Drama,7.3,307460.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,tt1193138,movie,Up in the Air,Up in the Air,0,2009,\N,109,Comedy,7.4,304234.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,tt1306980,movie,50/50,50/50,0,2011,\N,100,Comedy,7.6,303950.0,30/05/2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,tt0496806,movie,Ocean's Thirteen,Ocean's Thirteen,0,2007,\N,122,Crime,6.9,301979.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,tt0238380,movie,Equilibrium,Equilibrium,0,2002,\N,107,Action,7.4,299314.0,28/02/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,tt0212338,movie,Meet the Parents,Meet the Parents,0,2000,\N,108,Comedy,7.0,296318.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,tt0462538,movie,The Simpsons Movie,The Simpsons Movie,0,2007,\N,87,Adventure,7.3,296036.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,tt0822854,movie,Shooter,Shooter,0,2007,\N,124,Action,7.2,295555.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,0,1986,\N,103,Comedy,7.8,295203.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,tt0399201,movie,The Island,The Island,0,2005,\N,136,Action,6.8,290493.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,tt1707386,movie,Les Misérables,Les Misérables,0,2012,\N,158,Drama,7.6,290373.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,tt2788710,movie,The Interview,The Interview,0,2014,\N,112,Action,6.5,290332.0,30/01/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,tt0209163,movie,The Mummy Returns,The Mummy Returns,0,2001,\N,130,Action,6.3,287494.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,tt0433035,movie,Real Steel,Real Steel,0,2011,\N,127,Action,7.1,286025.0,22/03/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,tt0360486,movie,Constantine,Constantine,0,2005,\N,121,Action,7.0,284791.0,30/03/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,tt0100802,movie,Total Recall,Total Recall,0,1990,\N,113,Action,7.5,282462.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,tt0386588,movie,Hitch,Hitch,0,2005,\N,118,Comedy,6.6,281722.0,12/05/2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,tt0944835,movie,Salt,Salt,0,2010,\N,100,Action,6.4,280559.0,29/05/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,tt0129387,movie,There's Something About Mary,There's Something About Mary,0,1998,\N,119,Comedy,7.1,277912.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,Crime,8.3,277372.0,\N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,tt0147800,movie,10 Things I Hate About You,10 Things I Hate About You,0,1999,\N,97,Comedy,7.3,275142.0,02/02/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,tt0472043,movie,Apocalypto,Apocalypto,0,2006,\N,139,Action,7.8,274172.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,tt2194499,movie,About Time,About Time,0,2013,\N,123,Comedy,7.8,272913.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,1993,\N,76,Animation,8.0,272808.0,\N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,tt0814314,movie,Seven Pounds,Seven Pounds,0,2008,\N,123,Drama,7.6,272334.0,27/02/2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,tt0878804,movie,The Blind Side,The Blind Side,0,2009,\N,129,Biography,7.6,272224.0,11/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,tt1194173,movie,The Bourne Legacy,The Bourne Legacy,0,2012,\N,135,Action,6.7,271863.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,tt2004420,movie,Neighbors,Neighbors,0,2014,\N,97,Comedy,6.3,270171.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,tt0092099,movie,Top Gun,Top Gun,0,1986,\N,110,Action,6.9,268979.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,2014,\N,102,Action,6.2,267201.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,tt0119528,movie,Liar Liar,Liar Liar,0,1997,\N,86,Comedy,6.9,264518.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,tt1735898,movie,Snow White and the Huntsman,Snow White and the Huntsman,0,2012,\N,127,Action,6.1,261947.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,tt1591095,movie,Insidious,Insidious,0,2010,\N,103,Horror,6.8,259883.0,\N,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,tt0109040,movie,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,0,1994,\N,86,Comedy,6.9,259723.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,tt1645170,movie,The Dictator,The Dictator,0,2012,\N,83,Comedy,6.4,255293.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,tt1790885,movie,Zero Dark Thirty,Zero Dark Thirty,0,2012,\N,157,Drama,7.4,255116.0,\N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,tt0320661,movie,Kingdom of Heaven,Kingdom of Heaven,0,2005,\N,144,Action,7.2,253548.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,tt1478338,movie,Bridesmaids,Bridesmaids,0,2011,\N,125,Comedy,6.8,253273.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,tt1259571,movie,The Twilight Saga: New Moon,The Twilight Saga: New Moon,0,2009,\N,130,Adventure,4.7,251914.0,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,tt0125439,movie,Notting Hill,Notting Hill,0,1999,\N,124,Comedy,7.1,250609.0,\N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,tt1706620,movie,Snowpiercer,Snowpiercer,0,2013,\N,126,Action,7.1,249028.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,tt1013752,movie,Fast & Furious,Fast & Furious,0,2009,\N,107,Action,6.6,247172.0,\N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
