,tconst,titleType,primaryTitle,originalTitle,endYear,genres,watchDate,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,noGenre,isAdult,startYear,averageRating,numVotes,runtimeMinutes,cluster,clusPercent
18,tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,8.0,757029.0,92,5,15.384615384615385
19,tt0208092,movie,Snatch,Snatch,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8.3,732110.0,104,5,15.384615384615385
20,tt1454468,movie,Gravity,Gravity,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.7,723439.0,91,5,15.384615384615385
21,tt0435761,movie,Toy Story 3,Toy Story 3,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,8.3,704196.0,103,5,15.384615384615385
22,tt0416449,movie,300,300,0,Action,29/02/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,7.7,701052.0,117,5,15.384615384615385
23,tt1843866,movie,Captain America: The Winter Soldier,Captain America: The Winter Soldier,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.7,684629.0,136,5,15.384615384615385
24,tt1119646,movie,The Hangover,The Hangover,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7.7,680459.0,100,5,15.384615384615385
25,tt0253474,movie,The Pianist,The Pianist,0,Biography,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,8.5,661656.0,150,5,15.384615384615385
26,tt0075314,movie,Taxi Driver,Taxi Driver,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,8.3,656973.0,114,5,15.384615384615385
27,tt1663202,movie,The Revenant,The Revenant,0,Action,23/11/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,8.0,639504.0,156,5,15.384615384615385
28,tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,8.0,633265.0,137,5,15.384615384615385
29,tt2084970,movie,The Imitation Game,The Imitation Game,0,Biography,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,8.0,632588.0,114,5,15.384615384615385
30,tt1045658,movie,Silver Linings Playbook,Silver Linings Playbook,0,Comedy,09/09/2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7.7,628593.0,122,5,15.384615384615385
31,tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,8.1,623218.0,98,5,15.384615384615385
32,tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,8.1,595865.0,132,5,15.384615384615385
33,tt0440963,movie,The Bourne Ultimatum,The Bourne Ultimatum,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,8.0,584227.0,115,5,15.384615384615385
34,tt0126029,movie,Shrek,Shrek,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,7.8,574121.0,90,5,15.384615384615385
35,tt0116282,movie,Fargo,Fargo,0,Crime,02/11/2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,8.1,572291.0,98,5,15.384615384615385
36,tt0816711,movie,World War Z,World War Z,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.0,563355.0,116,5,15.384615384615385
37,tt0796366,movie,Star Trek,Star Trek,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7.9,560731.0,127,5,15.384615384615385
38,tt1631867,movie,Edge of Tomorrow,Edge of Tomorrow,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.9,557587.0,113,5,15.384615384615385
39,tt1981115,movie,Thor: The Dark World,Thor: The Dark World,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,6.9,555226.0,112,5,15.384615384615385
40,tt2802144,movie,Kingsman: The Secret Service,Kingsman: The Secret Service,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.7,555059.0,129,5,15.384615384615385
41,tt0421715,movie,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7.8,549059.0,166,5,15.384615384615385
42,tt0780504,movie,Drive,Drive,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,7.8,531101.0,100,0,21.428571428571427
43,tt0332280,movie,The Notebook,The Notebook,0,Drama,24/02/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.8,484498.0,123,0,21.428571428571427
44,tt1798709,movie,Her,Her,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,8.0,483750.0,126,0,21.428571428571427
45,tt0162222,movie,Cast Away,Cast Away,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,7.8,482206.0,143,0,21.428571428571427
46,tt0240772,movie,Ocean's Eleven,Ocean's Eleven,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,7.8,481806.0,116,0,21.428571428571427
47,tt0258463,movie,The Bourne Identity,The Bourne Identity,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,7.9,481298.0,119,0,21.428571428571427
48,tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.9,478968.0,99,0,21.428571428571427
49,tt0181689,movie,Minority Report,Minority Report,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,7.6,477289.0,145,0,21.428571428571427
50,tt1323594,movie,Despicable Me,Despicable Me,0,Animation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7.6,472627.0,95,0,21.428571428571427
51,tt0343818,movie,"I, Robot","I, Robot",0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.1,472087.0,115,0,21.428571428571427
52,tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,8.2,470566.0,91,0,21.428571428571427
53,tt0409459,movie,Watchmen,Watchmen,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7.6,462460.0,162,0,21.428571428571427
54,tt1408101,movie,Star Trek Into Darkness,Star Trek Into Darkness,0,Action,20/10/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.7,449200.0,132,0,21.428571428571427
55,tt0096874,movie,Back to the Future Part II,Back to the Future Part II,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,7.8,438086.0,108,0,21.428571428571427
56,tt0206634,movie,Children of Men,Children of Men,0,Drama,06/11/2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,7.9,435754.0,109,0,21.428571428571427
57,tt0425112,movie,Hot Fuzz,Hot Fuzz,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.8,433858.0,121,0,21.428571428571427
58,tt0448157,movie,Hancock,Hancock,0,Action,10/01/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,6.4,419616.0,92,0,21.428571428571427
59,tt0454921,movie,The Pursuit of Happyness,The Pursuit of Happyness,0,Biography,12/05/2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,8.0,413448.0,117,0,21.428571428571427
60,tt0372183,movie,The Bourne Supremacy,The Bourne Supremacy,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.7,412454.0,108,0,21.428571428571427
61,tt2179136,movie,American Sniper,American Sniper,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.3,409076.0,133,0,21.428571428571427
62,tt0443706,movie,Zodiac,Zodiac,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.7,404754.0,157,0,21.428571428571427
63,tt1099212,movie,Twilight,Twilight,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,5.2,400195.0,122,0,21.428571428571427
64,tt1515091,movie,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,7.5,399554.0,129,0,21.428571428571427
65,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,6.6,396708.0,115,0,21.428571428571427
66,tt0319061,movie,Big Fish,Big Fish,0,Adventure,16/04/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,8.0,394587.0,125,0,21.428571428571427
67,tt1535109,movie,Captain Phillips,Captain Phillips,0,Biography,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.8,393765.0,134,0,21.428571428571427
68,tt0314331,movie,Love Actually,Love Actually,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,7.6,390732.0,135,0,21.428571428571427
69,tt0441773,movie,Kung Fu Panda,Kung Fu Panda,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7.5,389803.0,92,0,21.428571428571427
70,tt1723121,movie,We're the Millers,We're the Millers,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.0,378094.0,110,3,31.11111111111111
71,tt0362227,movie,The Terminal,The Terminal,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.3,373041.0,128,3,31.11111111111111
72,tt0120616,movie,The Mummy,The Mummy,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,7.0,371624.0,124,3,31.11111111111111
73,tt1055369,movie,Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6.0,369145.0,150,3,31.11111111111111
74,tt2980516,movie,The Theory of Everything,The Theory of Everything,0,Biography,19/07/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.7,368868.0,123,3,31.11111111111111
75,tt1014759,movie,Alice in Wonderland,Alice in Wonderland,0,Adventure,17/05/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,6.4,363924.0,108,3,31.11111111111111
76,tt0139654,movie,Training Day,Training Day,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,7.7,362777.0,122,3,31.11111111111111
77,tt0831387,movie,Godzilla,Godzilla,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6.4,359047.0,123,3,31.11111111111111
78,tt0163651,movie,American Pie,American Pie,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,7.0,357360.0,95,3,31.11111111111111
79,tt0942385,movie,Tropic Thunder,Tropic Thunder,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7.0,357156.0,107,3,31.11111111111111
80,tt1060277,movie,Cloverfield,Cloverfield,0,Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008,7.0,356013.0,85,3,31.11111111111111
81,tt0265086,movie,Black Hawk Down,Black Hawk Down,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,7.7,344878.0,144,3,31.11111111111111
82,tt0369339,movie,Collateral,Collateral,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.5,339683.0,120,3,31.11111111111111
83,tt0349903,movie,Ocean's Twelve,Ocean's Twelve,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,6.5,336766.0,125,3,31.11111111111111
84,tt1282140,movie,Easy A,Easy A,0,Comedy,05/06/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7.1,336156.0,92,3,31.11111111111111
85,tt1596343,movie,Fast Five,Fast Five,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,7.3,335202.0,130,3,31.11111111111111
86,tt1371111,movie,Cloud Atlas,Cloud Atlas,0,Action,29/10/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7.4,330299.0,172,3,31.11111111111111
87,tt0840361,movie,The Town,The Town,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7.5,327698.0,125,3,31.11111111111111
88,tt0232500,movie,The Fast and the Furious,The Fast and the Furious,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,6.8,326699.0,106,3,31.11111111111111
89,tt0317740,movie,The Italian Job,The Italian Job,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,7.0,326423.0,111,3,31.11111111111111
90,tt0438488,movie,Terminator Salvation,Terminator Salvation,0,Action,23/03/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6.5,325522.0,115,3,31.11111111111111
91,tt1596363,movie,The Big Short,The Big Short,0,Biography,17/10/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,7.8,319596.0,130,3,31.11111111111111
92,tt0454848,movie,Inside Man,Inside Man,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,7.6,317948.0,129,3,31.11111111111111
93,tt1409024,movie,Men in Black 3,Men in Black 3,0,Action,09/03/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,6.8,317365.0,106,3,31.11111111111111
94,tt0317919,movie,Mission: Impossible III,Mission: Impossible III,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,6.9,311605.0,126,3,31.11111111111111
95,tt0162661,movie,Sleepy Hollow,Sleepy Hollow,0,Fantasy,07/09/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999,7.3,310726.0,105,3,31.11111111111111
96,tt0455944,movie,The Equalizer,The Equalizer,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.2,309056.0,132,3,31.11111111111111
97,tt1490017,movie,The Lego Movie,The Lego Movie,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,7.8,308992.0,100,3,31.11111111111111
98,tt0343660,movie,50 First Dates,50 First Dates,0,Comedy,12/10/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,6.8,308655.0,99,3,31.11111111111111
99,tt0377092,movie,Mean Girls,Mean Girls,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,7.0,308202.0,97,3,31.11111111111111
100,tt1907668,movie,Flight,Flight,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7.3,307460.0,138,3,31.11111111111111
101,tt1193138,movie,Up in the Air,Up in the Air,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7.4,304234.0,109,3,31.11111111111111
102,tt1306980,movie,50/50,50/50,0,Comedy,30/05/2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,7.6,303950.0,100,3,31.11111111111111
103,tt0496806,movie,Ocean's Thirteen,Ocean's Thirteen,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,6.9,301979.0,122,3,31.11111111111111
104,tt0238380,movie,Equilibrium,Equilibrium,0,Action,28/02/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,7.4,299314.0,107,3,31.11111111111111
105,tt0212338,movie,Meet the Parents,Meet the Parents,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,7.0,296318.0,108,3,31.11111111111111
106,tt0462538,movie,The Simpsons Movie,The Simpsons Movie,0,Adventure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.3,296036.0,87,3,31.11111111111111
107,tt0822854,movie,Shooter,Shooter,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7.2,295555.0,124,3,31.11111111111111
108,tt0091042,movie,Ferris Bueller's Day Off,Ferris Bueller's Day Off,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,7.8,295203.0,103,3,31.11111111111111
109,tt0399201,movie,The Island,The Island,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,6.8,290493.0,136,3,31.11111111111111
110,tt1707386,movie,Les Misérables,Les Misérables,0,Drama,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7.6,290373.0,158,3,31.11111111111111
111,tt2788710,movie,The Interview,The Interview,0,Action,30/01/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6.5,290332.0,112,3,31.11111111111111
112,tt0209163,movie,The Mummy Returns,The Mummy Returns,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,6.3,287494.0,130,3,31.11111111111111
113,tt0433035,movie,Real Steel,Real Steel,0,Action,22/03/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,7.1,286025.0,127,3,31.11111111111111
114,tt0360486,movie,Constantine,Constantine,0,Action,30/03/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,7.0,284791.0,121,3,31.11111111111111
115,tt0100802,movie,Total Recall,Total Recall,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,7.5,282462.0,113,9,32.25806451612903
116,tt0386588,movie,Hitch,Hitch,0,Comedy,12/05/2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,6.6,281722.0,118,9,32.25806451612903
117,tt0944835,movie,Salt,Salt,0,Action,29/05/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,6.4,280559.0,100,9,32.25806451612903
118,tt0129387,movie,There's Something About Mary,There's Something About Mary,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,7.1,277912.0,119,9,32.25806451612903
119,tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,Crime,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,8.3,277372.0,129,9,32.25806451612903
120,tt0147800,movie,10 Things I Hate About You,10 Things I Hate About You,0,Comedy,02/02/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999,7.3,275142.0,97,9,32.25806451612903
121,tt0472043,movie,Apocalypto,Apocalypto,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,7.8,274172.0,139,9,32.25806451612903
122,tt2194499,movie,About Time,About Time,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.8,272913.0,123,9,32.25806451612903
123,tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,0,Animation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,8.0,272808.0,76,9,32.25806451612903
124,tt0814314,movie,Seven Pounds,Seven Pounds,0,Drama,27/02/2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,7.6,272334.0,123,9,32.25806451612903
125,tt0878804,movie,The Blind Side,The Blind Side,0,Biography,11/03/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7.6,272224.0,129,9,32.25806451612903
126,tt1194173,movie,The Bourne Legacy,The Bourne Legacy,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,6.7,271863.0,135,9,32.25806451612903
127,tt2004420,movie,Neighbors,Neighbors,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6.3,270171.0,97,9,32.25806451612903
128,tt0092099,movie,Top Gun,Top Gun,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,6.9,268979.0,110,9,32.25806451612903
129,tt1253863,movie,300: Rise of an Empire,300: Rise of an Empire,0,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,6.2,267201.0,102,9,32.25806451612903
130,tt0119528,movie,Liar Liar,Liar Liar,0,Comedy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,6.9,264518.0,86,9,32.25806451612903
